Event Label,Event Action
https://www.icarda.org/media/drywire/vital-contribution-women-livelihoods-resilience-during-covid-19,1
http://ebrary.ifpri.org/utils/getfile/collection/p15738coll2/id/133253/filename/133464.pdf,1
https://ccafs.cgiar.org/publications/gender-and-inclusion-toolbox-participatory-research-climate-change-and-agriculture#.WhVxjbbMzOR,1
http://agriprofocus.com/upload/ToolkitENGender_in_Value_ChainsJan2014compressed1415203230.pdf,1
https://storage.googleapis.com/cgiarorg/2020/12/SC-Members-Website_03December2020.pdf,1
https://storage.googleapis.com/cgiarorg/2020/06/SC10-06-One-CGIAR-Progress-Report.pdf,1
https://cgspace.cgiar.org/bitstream/handle/10568/107167/14_EiB_2020_POWB_January%2014%2c%202020_FINAL.pdf?sequence=1&isAllowed=y,1
https://cgspace.cgiar.org/bitstream/handle/10568/100691/CGIAR-Budget-Template-Guidance-Gender-Platform-3April2019.pdf?sequence=4&isAllowed=y,1
https://storage.googleapis.com/cgiarorg/2020/11/SC11-ISDC-Progress-and-2021-Look-Ahead.pdf,1
http://www.fsnnetwork.org/sites/default/files/acdivoca_10_steps_for_operationalizing_a_gender_analysis_study.pdf,1
https://cgspace.cgiar.org/bitstream/handle/10568/108347/WLE_2019_AnnualReport_Final_15May2020.pdf?sequence=1&isAllowed=y,1
https://www.cgiar.org/wp/wp-content/uploads/2019/02/CGIAR-Business-Plan-Web.pdf,1
https://storage.googleapis.com/cgiarorg/2020/03/APPROVED_2020-2021-Financing-Plan-and-Guidance.pdf,1
https://ispc.cgiar.org/sites/default/files/docs/Session%206_Tilapia%20Adoption_Benzie.pdf,1
http://books.irri.org/Creating-Sus-Value-Chains_Nafees-policy-brief_160420.pdf,1
http://ebrary.ifpri.org/utils/getfile/collection/p15738coll2/id/133717/filename/133931.pdf,1
http://www.ifpri.org/cdmref/p15738coll2/id/132348/filename/132559.pdf,1
https://storage.googleapis.com/cgiarorg/2020/11/SB18-02bii_Investment-Plan-CGIAR-2022-24-outline.pdf,1
https://storage.googleapis.com/cgiarorg/2020/06/Foresight-and-Trade-off-Implications-for-One-CGIAR-FINAL.pdf,1
https://cgspace.cgiar.org/bitstream/handle/10568/97706/GLDC-Leaflet-Web.pdf?sequence=5&isAllowed=y,1
https://www.cgiar.org/wp/wp-content/uploads/2018/12/SMB12-01_Agenda-ADOPTED.pdf,1
http://gennovate.org,1
http://library.cgiar.org/bitstream/handle/10947/4370/CGIAR%20System%20Charter%20-%20WEB.pdf?sequence=4,1
https://storage.googleapis.com/cgiarorg/2020/12/RFP-HR-Consultancy-to-support-One-CGIAR-Transition-17122020.pdf,1
https://www.cimmyt.org/news/empowered-rural-women-take-on-entrepreneurship/,1
http://ebrary.ifpri.org/utils/getfile/collection/p15738coll2/id/133635/filename/133827.pdf,1
https://cgspace.cgiar.org/bitstream/handle/10568/65144/Climate-smart%20villages%20and%20the%20hope%20of%20food%20secure%20households.pdf,1
https://cgspace.cgiar.org/bitstream/handle/10568/107169/12_WLE%20POWB%202020_FINAL.pdf?sequence=1&isAllowed=y,1
https://cgspace.cgiar.org/bitstream/handle/10568/110046/CGIAR-2019-Intellectual-Assets-Report.pdf?sequence=1&isAllowed=y,1
https://cgspace.cgiar.org/bitstream/handle/10947/3062/CGIAR-Funder-Acknowledgement-Guidelines-June-2018.pdf?sequence=6&isAllowed=y,1
https://storage.googleapis.com/cgiarorg/2020/10/SB18-05_ChairsSummary.pdf,1
https://www.cgiar.org/wp/wp-content/uploads/2018/09/TOR_InternalAuditSupportService-APPROVED.pdf,1
https://www.canvas.net/browse/usaid/courses/usaid-land-tenure,1
https://storage.googleapis.com/cgiarorg/2020/07/COVID-19-Statement-SMB-20200716.pdf,1
http://www.ifpri.org/publication/improving-diets-and-nutrition-through-integrated-poultry-value-chain-and-nutrition,1
http://oar.icrisat.org/10984/1/Gendered%20aspirations%20and%20occupations.pdf,1
http://pub.epsilon.slu.se/10383/,1
https://storage.googleapis.com/cgiarorg/2020/11/Policy-Note-5-Climate-Security-in-Colombia-For-Publishing.pdf,1
http://www.vuna-africa.com,1
http://www.worldagroforestry.org/sites/agroforestry/files/2020-05/Annual%20Report%202018_1.pdf,1
https://storage.googleapis.com/cgiarorg/2019/08/SC8-14_MeetingSummary_APPROVED.pdf,1
https://www.slideshare.net/IFPRI-PIM/understanding-gendered-rice-varietal-trait-preferences-case-of-stress-tolerant-rice-in-odisha,1
https://oceanpanel.org/sites/default/files/2020-11/Follow%20the%20Sun%20Events%20Calendar_2.pdf,1
https://storage.googleapis.com/cgiarorg/2020/10/RFP_Fit-for-Purpose-Assessment-of-CGIAR-Performance-Results-Management-System2.pdf,1
